sampleID,d15N,d13C
HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=,0,-29.8
HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=,0.4,-25.4
HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=,-0.6,-28.5
HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=,-1.6,-28.4
HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=,-2,-26.7
HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=,-1.8,-28.7
HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=,-1.2,-29.2
HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=,-3.2,-28.1
HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=,-1.9,-27.9
HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=,-2.4,-28.6
HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq64SBG3RfAhI4=,0.8,-28
HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6MtBN6OugIbU=,-0.8,-30.3
HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6MtBN6OugIbU=,-0.7,-30
HvxvVDlCk19EVGeg9EptERY8d7QKUf5+lT00LmxDsSQ=,-1.7,-28.2
HvxvVDlCk19EVGeg9EptERY8d7QKUf5+lT00LmxDsSQ=,-1.8,-28.1
HvxvVDlCk19/LDHwwAo3YxZqxe4gnGF33QYbdiOMRZA=,-0.9,-27.5
HvxvVDlCk1+WcrkevV8Iu1UJFz5xk1r3SCyvt34gmBk=,-0.6,-27.9
HvxvVDlCk1+WcrkevV8Iu1UJFz5xk1r3SCyvt34gmBk=,-0.6,-28
HvxvVDlCk1+Qj9bexHPaS+L21NZ5c6MJaxl8Ck9jB24=,-1.9,-28.6
HvxvVDlCk1885jWb3D9uoNtfBoh8w7ds1JF6UqHlHlE=,-2,-29
HvxvVDlCk19Zj9vSHVUUnXMykrJPAQ5g0H5tKbBogRU=,0.4,-28.2
HvxvVDlCk18ush1BqjuQDS9DQaX44XwvURN7NsCxT/M=,-1.3,-30.3
HvxvVDlCk19fheKIYCBrr/6ub+ELkaNvH9kpDJGuvvY=,-1.8,-28.6
HvxvVDlCk19ysRYVkOV3WA0r8hQHAlqRhlQcjpEZCJs=,-1.3,-29.3
HvxvVDlCk19JlN37PLGpuXmwYTp0GGASXFeig3DWZYo=,-0.4,-31.1
HvxvVDlCk19LcyNt9GpiizHsoykg80Zn6ewX9TkT9Io=,-1.9,-32
HvxvVDlCk19LcyNt9Gpii5g5y6jx981iIgr5dxxPImk=,-2.9,-30.3
HvxvVDlCk18b8byyzvtwUShRHIk63Dg7AcG3DtgFtvI=,-0.1,-28.5
HvxvVDlCk19LcyNt9Gpiizjew9YqWN5pjCHvvNaOZ5A=,-2.2,-29.7
HvxvVDlCk1///5x2e0+GBQoeE/Pusmmq+V9J519zxOo=,-2.4,-31.2
HvxvVDlCk19wFqR6DOcuD956vK5ubnMkeM0bIIJ/Cjw=,-2,-30.5
HvxvVDlCk1/VZGv+C5O+MZSgs9IMZRfXg7Sqy1nrRIk=,-1.1,-29.3
HvxvVDlCk182Oj3h01KbY3Y5E/4Cd5IHZrBp7emRViY=,-1.3,-30.2
HvxvVDlCk19KJ+MKRTsgN3yo4WWDRKphddYCRZmtPBE=,-2.6,-28.8
HvxvVDlCk1/W+F1NJtCuxn5a/p4MJtv97pyHjjtirpY=,-3,-30.4
HvxvVDlCk1/x9xdKuYUTJ1itoOWhaA11XV8Ce9pi0ok=,-0.1,-30.8
HvxvVDlCk19vCgQHzUqELa1Qnpo1wg/QWHs8qOOPWoY=,-1.3,-28.6
HvxvVDlCk19Pd6bAjlEziyVIR/vQwK7m6HIQuCRp2Fo=,-0.6,-28.8
HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq6I2JbqHTaCf8=,-0.5,-29.6
HvxvVDlCk1+aEj7OkevsmY/xu/u/XSP4LYzPYLJBsTk=,0.7,-14.2
HvxvVDlCk18ZsGgk1hoFt8bQ45no0lsnbGqpeDhNgXU=,0.5,-29.5
HvxvVDlCk1+REwHgcgryAVbeATlJvqsGF2GJcslaE7s=,-1.2,-29
HvxvVDlCk18RCYUymFO3oBl5vr796w3lPmNA67uCTbc=,-3.5,-32.4
HvxvVDlCk1/+G3LXOot+Iz/QeZlP+nnsQqszjmR7+HQ=,-1.9,-29.4
FOQ0AtY6KEycCvMIsKDR9qNbT+1GFPfyHZGlcbpW2wU=,-3.3,-32
FOQ0AtY6KEzN/QG7hSTZIMp0rdhB5W1Zm7PE6F5tL0U=,-4.6,-30.5
FOQ0AtY6KExU6N6QJ/ivTxNyb5GdiOgbLXoIi89tfoM=,-2.9,-30.2
FOQ0AtY6KEyRIJoI2jxGWCF8o7YZ6gOCNGkVijysuis=,0,-29.7
FOQ0AtY6KEyRIJoI2jxGWGH0yGJHKgk2h17T9yFmTY8=,-1.5,-30.2
FOQ0AtY6KEx8oT1WwPGcZuEBs/AbXNaJ6d05gokmYYM=,-2.2,-30.4
FOQ0AtY6KEwCr79yliLmJtIKdjb1qKkOBquWMbz6/GU=,-2.4,-30.1
FOQ0AtY6KEyZ2MJ9ABD3LHLkE2teY00o4FGvxLVln+4=,-3.9,-29.9
FOQ0AtY6KEy+pAaUheo1thGWj9/Lea/CFDP3TUGjRbU=,-3.7,-29
FOQ0AtY6KEyBaCrl0dkwi2wpvZe9FC3/nUl7zsdUn0g=,-4.2,-31.4
FOQ0AtY6KEwWJ1KBX8m/zu7dhHFwp7MOz57ZBqSdv3Q=,-1.6,-30.4
FOQ0AtY6KExR1vjIqPqoYwssbhuLXZA+dV+WYKwJKv0=,-2.8,-29.6
FOQ0AtY6KExMdQW88yVj/QAFPSkPXdUJYTmctgaV9fQ=,-3.4,-28.4
FOQ0AtY6KEyr5Og0zMdhf6z+E6veTxAMLtlAlXvESW0=,3,-27.7
FOQ0AtY6KEz/dqob1l7/P8l6vMnxDl6DdWxsNDdHx34=,2.6,-28.6
FOQ0AtY6KExBoHldsCRAWGKTJVDvg2EuZhNfndPSYm8=,-0.3,-27.9
FOQ0AtY6KEy3Hw/71mF0saL50FmFsgOw8RRHdxcnqBw=,-5.2,-25.2
FOQ0AtY6KExSpYCIo6s6FCDb5Sju1L9iEDPl4+zOlGE=,-2.4,-29.4
FOQ0AtY6KEyAtzmsRjSQa3fTmiDDzJ5pVmDY5cDvAew=,-2.6,-31.3
FOQ0AtY6KEyAtzmsRjSQa3fTmiDDzJ5pVmDY5cDvAew=,-3.4,-31.4
FOQ0AtY6KEzYHxPmIY9PEhmOpnJqX64NA/e9exeFGPI=,-3,-29.4
FOQ0AtY6KEwe44fYJiJum6CJtVNO/1VskfFuFAUDtQ8=,-1.4,-29.6
FOQ0AtY6KEzHVKdZ60NX7jCf6mP2x/VqFPPMp4q+Boc=,-5.5,-30
FOQ0AtY6KEx0N8s0T/0Ni4wh8K7Mr2UIsLFAnyk9uXU=,2.8,-28.8
FOQ0AtY6KEytKRaPHrzBBodv0zg4qzbSLgSwnyJkCNI=,-0.1,-31.4
FOQ0AtY6KEzSwWAtYYDrFHscsT9cHEoYojEvjKyJ2Zo=,-1,-28.5
FOQ0AtY6KEy9G+yhrlknifQTCcZmbBEQjq+9ZQYLn4g=,-3.4,-30.5
FOQ0AtY6KEy2FjZItupBDQ2bSx/yGAPBj5BGS+M0euM=,-2.1,-30.2
FOQ0AtY6KEy2FjZItupBDQ2bSx/yGAPBj5BGS+M0euM=,-2.6,-30.2
FOQ0AtY6KEwkG0HbKdkVKot7cojmNUCHDS8ajpqxniI=,-2.9,-29.5
FOQ0AtY6KExn2ow3zzLEz1a2C3qnb18VL26hP9O9DP8=,-0.3,-28.4
FOQ0AtY6KEyu1u1eoZ+mlaLCO9prTDrbhL8FdfDSwuM=,-2.8,-30.2
FOQ0AtY6KEznZsP8xsKWw6bI0deVishnBT7a8pzlStY=,-4.3,-30
FOQ0AtY6KEx8LZMdpFFFSqHtuS8p0BXnt1zjVwof5Zg=,-3.9,-31.5
FOQ0AtY6KEzuRhv79n2Ngh/WdpPgQndDOi6voUDOzbQ=,-5.1,-30.5
FOQ0AtY6KEwHrJltYy50YDAHYT0/4z1nE+1viJMA4fs=,-3.4,-31.7
VIe0/2w3fNc48IHSI8KhsfkrpuHvgjCDd+RNR5CtzZY=,-1.3,-30.4
VIe0/2w3fNdxYrN/WhkT+uRLGtZdIuPlH3Rj4eVGgvc=,-1.7,-30.3
VIe0/2w3fNd+AFr8nHrB6sAugOdzx6mZeUmxfA7e+TI=,-1.9,-27.7
VIe0/2w3fNeW/5B6HKxT9OlxqXavDkE4+6lBdLENy0w=,-2.1,-28.1
VIe0/2w3fNftqIpFKLlZ7OyxLztnbW5sTDhQYQBiRn0=,-0.6,-28
VIe0/2w3fNdfUv4vjjWHezSjApQWs26PZzIgyJrHYCk=,-1.9,-26.8
VIe0/2w3fNeozSAraMsLYnwf4V3XdQvd+XWsEZeBUeY=,-2.6,-28.8
VIe0/2w3fNdJfITAZNCzsooYD0OwZokAoF32VNTKLpM=,-1.5,-29.8
VIe0/2w3fNdImTPDFEeyj4pOPHv3uWaNhPrQV1lWKNs=,-1.3,-28.8
VIe0/2w3fNcUGzVrPfqiD8/f4TEvV8as4BcvO/EM4Rg=,-2,-28.4
VIe0/2w3fNdZpcW9ae5/mUbxNKrAEUrTKazl3Wg7T4A=,-1.4,-28.8
VIe0/2w3fNebL06shWhPji2SF1yB8s00UNM/Y0EFZxk=,-3,-28.5
VIe0/2w3fNeNnoDJ4akJYMWC1aiAJkiauYkqOsksHAE=,-3.3,-28.8
VIe0/2w3fNebmhW80rzpS881KI92y62T7Ti7hhlPfBw=,-2.6,-27.4
VIe0/2w3fNeBQnoBtnyUCQYQJX4XLBl9PCWG2SaZNuk=,-0.6,-29.4
VIe0/2w3fNc9LAG1OMEeN8ZriLYt3e+ZEGq5DoNVT6Y=,-2,-28.6
VIe0/2w3fNfW02cWAdpRsHWQBtILJpeZfEC47VgkERw=,-3.1,-26.4
VIe0/2w3fNf2pzHj10cnqQF8QtjK6edGrDl/vLip/Pg=,-1.9,-28.4
VIe0/2w3fNfW02cWAdpRsEBltogD1RiwG6g8WryoXKs=,-3,-27.5
VIe0/2w3fNebVQKB2BjevtyqXOCdsnKT8hAEs+3C/Ng=,-4.5,-29.1
VIe0/2w3fNd/z2WoUObti5ZVAgsrdVZ/hHeH7OKvAxI=,-5.6,-28.5
VIe0/2w3fNd/z2WoUObti5ZVAgsrdVZ/hHeH7OKvAxI=,-5.6,-28.6
VIe0/2w3fNc33g5rmTd2pHq4VDDW2AUFc5Yg5mi4D1k=,-4,-30.2
VIe0/2w3fNcalzjkVwBhmldGEhUSkkljwAkHGnBLeDU=,-0.8,-28.4
VIe0/2w3fNcalzjkVwBhmsWNSJ0H6/lCOXw14m2mbvw=,-1.3,-28.4
VIe0/2w3fNcalzjkVwBhmg1MmhmwySLj5mT3KSE11uo=,-1,-26.6
VIe0/2w3fNcalzjkVwBhmg1MmhmwySLj5mT3KSE11uo=,-0.9,-26.5
VIe0/2w3fNeiYDd1kvOxg66bfSAZVSGo8BLiyROlYQw=,-1.3,-27.5
VIe0/2w3fNdC6482kBzsU+ZXDvTcBmXpcxcMuwwiLjc=,-5.3,-26.1
VIe0/2w3fNcNrKRjyzmNZh0ikrU4TDTxOZJ/R4N1T8g=,-4.2,-27.8
VIe0/2w3fNfxmlWt9NRGm4zZmHkOrqOnv3sKGslRn+s=,-0.3,-28.1
VIe0/2w3fNfxmlWt9NRGm4zZmHkOrqOnv3sKGslRn+s=,-0.3,-28.1
VIe0/2w3fNd94NzJ1ldmPvO/rfvxTdRR90xtbj4w4Go=,-0.9,-29.9
VIe0/2w3fNdw57HdUJ7YL8y6o5N9MN7OHNdhjlaZOp0=,-1.9,-29.4
VIe0/2w3fNfkpyROGrcCGN/B52ltoaK5OoK0qtPoR2o=,0.4,-28
VIe0/2w3fNdOqIczM0wx5vfpcF4tFLybGsHm0906xWk=,-2.8,-28.2
VIe0/2w3fNfkpyROGrcCGPtCR19whAUEbHnv++zRu/I=,0.3,-27.7
VIe0/2w3fNcn3zJhSf83pVhdTs3/Fuw0wCSb+sp0z98=,-4.5,-28.8
VIe0/2w3fNf39i0uHMFdmaeaCqh5sYXhZumlpdA2UH4=,-0.4,-30.3
VIe0/2w3fNcn3zJhSf83pVVxpG6jk1EcOoeAHmkKomg=,-4.5,-27.6
VIe0/2w3fNdp78ByyJA8EAivT6mVK4BIvRLpY5y8l9c=,-3.9,-25.5
VIe0/2w3fNdGg8ZdiqmQlCp6yf9Pjzzg0f8d4lnTIVI=,0.3,-27.5
VIe0/2w3fNeKiqeEFmkbTmAG23MSwrWMR4cAci0XV9A=,-0.8,-30.6
Cekj+eelgP/sGcPrqr9Pzgu/+/VJ097jr+rZh2V8Hcw=,-3.5,-15.6
Cekj+eelgP9s9pDMbarmFxNu4AVtN2BlNTcUH7ACslY=,-2.1,-28
Cekj+eelgP/O8PU4swAXHMBynq9bqLSM9VkSpEY46BI=,-0.7,-23.2
Cekj+eelgP+FtsCbsa7Fx0yuDENzSZgUu0oOcsF1rUs=,-3,-16.1
Cekj+eelgP8YwVIKeX8KmDyhH3AmhbeIlUmTMgLm/C8=,-2.9,-18.2
Cekj+eelgP8twWen9yIBWBwjrwASs76HLmjW19E2bhI=,-1.9,-21.8
Cekj+eelgP9pjZG8ytWEoHzBBaS0LQQk2YY5mtqP/40=,-3,-17.2
Cekj+eelgP83+pvaUJG6uVN78ri862V09xDnre+Oyw0=,-3.1,-20.4
Cekj+eelgP9Fy+DOcsp9U9WSf3DutN4vIMfm1mkoIOs=,-2.9,-24
Cekj+eelgP8rqN6W/F1q6YCZHdfSRxLt+hQaovm3xi8=,-2.7,-21.7
Cekj+eelgP9P1Up66iRoAATQx/RQZ6bdUCrZN/Ev46I=,-2.3,-20.9
Cekj+eelgP8HxmkpxRAwFsNuGbR/BPcjYvpoCekY9zU=,-3.3,-19.4
Cekj+eelgP8/q2AoGGZ6cjflPDbdob4H68G9jeB0LE4=,-2.5,-29.3
Cekj+eelgP9EQU0Al2SAyHWyKDGB1fuXsJVvjMdieHQ=,-3.2,-19.1
Cekj+eelgP8hUU9GdNe5XfX3pGP3FBauzJmzRANL8iI=,-3.6,-16
Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,1.3,-30
Cekj+eelgP+4uDBRX8WPBLmsC2ixStEwh5Tmd0qGz+4=,1.3,-30
Cekj+eelgP8+4YR5y1t7pT4/Zul4g7BryOIPuZIcrPg=,0,-30.5
Cekj+eelgP8q1NEnDzdC19xoggzEesTICna+K/T2/i8=,-1.7,-28.8
Cekj+eelgP8HXcbi/ODa0/qRYJ5dTsQvWcxvufLOWzo=,-4.1,-15.6
Cekj+eelgP8uS0GdYPFp5KBQFxDLErk8/9bEYj2O/4c=,-0.6,-20.8
