"uid","namedLocation","domainID","siteID","plotType","sampleID","collectDate","lmaSampleID","lmaSampleCondition","scanDate","scannedBy","freshMass","ovenStartDate","ovenEndDate","dryMass","weighedBy","scannedLeafNumber","leafArea","percentGreen","leafMassPerArea","dryMassFraction","measuredBy","remarks","dataQF"
"89731074-355c-48e3-9896-806f76079541","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2optV4j8vL6Y=","2017-07-24T12:29Z","HvxvVDlCk1+52DmmtjULpk2KHiWTONl2rQpHbV08Y6g=","OK","2017-07-24T20:15Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",3.108,"2017-07-25T22:00Z","2017-07-28T12:45Z",1.572,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",3,18126.7,89,86.7,0.506,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"ebe49b01-1653-4247-9235-52dc7dcb47e5","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk18recdnuMUehunN/NlpHPvsn6rKCv4cW6M=","2017-07-24T13:06Z","HvxvVDlCk18recdnuMUehunN/NlpHPvsrCrVemJtdg3hXHAfverKug==","OK","2017-07-24T20:20Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",1.842,"2017-07-25T22:00Z","2017-07-28T12:42Z",0.902,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",2,11001,87,82,0.49,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"5719c8ff-525f-4d53-bc23-af1e4f8a090b","SCBI_005.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRw+6sK11aWqs=","2017-07-24T15:09Z","HvxvVDlCk1+PJvxtOAh+kuFriv5tZbhRMb4CDTGY9n4=","OK","2017-07-24T20:30Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",5.022,"2017-07-25T22:00Z","2017-07-28T12:53Z",1.667,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",3,22112.5,96,75.4,0.332,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"a8c2f568-f439-45f2-a99d-02a7b6991313","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1oknqmSB0px8=","2017-07-25T13:28Z","HvxvVDlCk1/lWAw6u5RweSwfmAamcWY1yGPazs82Hv0=","OK","2017-07-25T21:18Z","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",2.324,"2017-07-25T22:00Z","2017-07-28T12:40Z",0.874,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",1,13428.9,99,65.1,0.376,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"c7240363-b2b0-424c-ad48-2ae6c79cb549","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgcl2hZ7UP3OAE=","2017-07-25T13:29Z","HvxvVDlCk1/Ol10IGwAkvm1Z7kRTDOgclcizGZ4uwjb9CmhL1UFrFA==","OK","2017-07-25T21:25Z","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",3.022,"2017-07-25T22:00Z","2017-07-28T12:48Z",1.477,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",1,14882.7,98,99.2,0.489,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"6603f465-16a2-4d34-9e7d-9c45b938f430","SCBI_004.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgNS/W4G1Iat3s=","2017-07-25T14:26Z","HvxvVDlCk1/dNwsE2B0+NGE0Ihj/3WgN+0Gcd9TOmSU=","OK","2017-07-25T21:34Z","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",2.713,"2017-07-25T22:00Z","2017-07-28T12:50Z",1.297,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",3,12054.3,99,107.6,0.478,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"a05b63ca-dd03-4334-88a5-a8c02592b069","SCBI_045.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0apRmAwsMvV50=","2017-07-25T16:57Z","HvxvVDlCk1883DeQw28MdnJFN2Yr4f0a1a/JAgFiszI=","OK","2017-07-25T21:41Z","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",5.142,"2017-07-25T22:00Z","2017-07-28T13:00Z",2.124,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",1,24929.3,95,85.2,0.413,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"6c9e7ea5-5dd3-4ff0-ba8d-fb52ebc5b3b6","SCBI_049.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzdzxSLKrdj+4=","2017-07-26T13:50Z","HvxvVDlCk18oNCQQptCKY1FS/2EKbyWzm+fDMzVMUMQ=","OK","2017-07-26T19:30Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",4.892,"2017-07-30T23:45Z","2017-08-04T19:10Z",1.659,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",3,19852.7,100,83.6,0.339,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"c864196c-20c7-4117-b428-38d40bb56a7c","SCBI_049.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzjRrqnIHDlKA=","2017-07-26T15:52Z","HvxvVDlCk19Uda+oQsq6DYY/6bZIJmlzk/JcMJl6BaY=","OK","2017-07-26T19:45Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",3.668,"2017-07-30T23:45Z","2017-08-04T19:12Z",1.647,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",3,14132,100,116.5,0.449,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"df7b306a-3634-44f9-b87c-ba66f6c4822c","SCBI_049.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxjm4EVnGl/t4=","2017-07-26T17:54Z","HvxvVDlCk1+KVx888dV2UvUKxPneZWVxSUE2xSO0x2M=","OK","2017-07-26T20:00Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",5.611,"2017-07-30T23:45Z","2017-08-04T19:15Z",2.188,"cSNmYLv76T0gVgR+nHwb5XPF8fxAhgwD5+PP/u5QMFs=",1,25888,98,84.5,0.39,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"4e57e5a2-4d3f-41dd-9211-d322ed59f979","SCBI_010.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq64SBG3RfAhI4=","2017-07-27T14:24Z","HvxvVDlCk19XvWt6ZGxkDzEwNIwcfNq68ZKQ/B/kUeX3vCq8hIBWuw==","OK","2017-07-27T21:30Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",2.676,"2017-07-30T23:45Z","2017-08-04T19:00Z",0.857,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",2,16293.7,99,52.6,0.32,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"ed830d4b-4ba5-4043-a8e2-0f5f314eb801","SCBI_010.basePlot.cfc","D02","SCBI","distributed","HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6MtBN6OugIbU=","2017-07-27T16:32Z","HvxvVDlCk1+ZFcUrkrclmF6kKcmWmFa6pLlCmS22AE2kwmmqgxGQJA==","OK","2017-07-27T21:15Z","2CALKs4JNjmK3iYT4PUVEer6DObkBehF",4.06,"2017-07-30T23:45Z","2017-08-04T17:45Z",0.897,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",1,22761.3,100,39.4,0.221,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
"44b2411f-c4eb-47a4-82de-47a12d11837d","SCBI_045.basePlot.cfc","D02","SCBI","tower","HvxvVDlCk19EVGeg9EptERY8d7QKUf5+lT00LmxDsSQ=","2017-07-28T05:10Z","HvxvVDlCk19EVGeg9EptERY8d7QKUf5+oHHiE4O1f2UToCuIvO5QZQ==","OK","2017-07-30T23:05Z","HwrR06bjl3TqPXYD/ecX4LA/iftMi41T",3.998,"2017-07-30T23:45Z","2017-08-04T19:07Z",1.606,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",3,18747.7,96,85.7,0.402,"dMVZgSbiazVu0oXyzneal5IPnECwOfLe",NA,NA
