"","xmin","xmax","ymin","ymax","box","lidar_path","rgb_path","label"
"1",404814.62,404816.26,3284538.48,3284541.83,"1","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"2",404946.58,404952.92,3284538.77,3284541.95,"2","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"3",404868.48,404871.44,3284518.03,3284521.8,"3","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"4",404906.09,404910.41,3284517.37,3284522.56,"4","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"5",404891.42,404895.38,3284516.85,3284519.53,"5","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"6",404953.1,404955.96,3284517.95,3284519.83,"6","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"7",404922.61,404925.83,3284516.13,3284522.44,"7","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"8",404807.5,404809.79,3284514.53,3284521.48,"8","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"9",404849.07,404851.87,3284516.82,3284518.71,"9","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"10",404918.52,404923.48,3284515.43,3284519.49,"10","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"11",404957.02,404960.75,3284516.13,3284518.83,"11","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"12",404821.86,404828.99,3284513.36,3284518.81,"12","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"13",404848,404850.86,3284538.53,3284541.82,"13","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"14",404839.71,404842.12,3284516.59,3284518.9,"14","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"15",404964.73,404967.5,3284514.27,3284521.65,"15","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"16",404853.58,404855.53,3284515.51,3284517.4,"16","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"17",404925.54,404929.4,3284515.03,3284518.49,"17","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"18",404888.51,404891.41,3284512.65,3284517.9,"18","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
"19",404960,404964.39,3284514.01,3284518.28,"19","OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree"
