"","xmin","xmax","ymin","ymax","box","lidar_path","rgb_path","label"
"1",398974.53,398982.4,3277987.53,3277993.5,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"2",398992.75,398996.9,3277982.14,3277984.15,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_10","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"3",398991.13,398998.49,3277948.29,3277954.36,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_100","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"4",398875.54,398883.45,3277674.17,3277682.93,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1000","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"5",398757.16,398762.84,3277673.51,3277678.35,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1001","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"6",398782.04,398786.04,3277674.28,3277679.04,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1002","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"7",398820.31,398828.93,3277673.9,3277678.96,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1003","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"8",398834.5,398839.49,3277674.15,3277679.03,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1004","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"9",398933.24,398939.74,3277671.23,3277678.98,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1005","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"10",398786.62,398791.36,3277674.09,3277677.89,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1006","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"11",398798.26,398802.19,3277673.21,3277677.99,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1007","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"12",398809.19,398812.58,3277674.01,3277679.24,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1008","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"13",398841.57,398846.25,3277674.12,3277677.62,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1009","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"14",398905.87,398912.36,3277951.88,3277957.82,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_101","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"15",398851.63,398856.8,3277673.06,3277678.11,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1010","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"16",398792.37,398796.87,3277674.77,3277677.95,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1011","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"17",398719.57,398725.9,3277671.11,3277677.47,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1012","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"18",398726.03,398732.82,3277672.05,3277678.47,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1013","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"19",398802,398806.59,3277672.03,3277676.81,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1014","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"20",398846.31,398851.95,3277672.1,3277676.8,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1015","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"21",398754.36,398757.82,3277673.22,3277675.45,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1016","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"22",398772.28,398777.91,3277672.19,3277676.19,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1017","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"23",398781.16,398786.99,3277671.02,3277675.86,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1018","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"24",398829.02,398833.75,3277672.15,3277676.28,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1019","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"25",398912.55,398916.96,3277951.57,3277957.66,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_102","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"26",398702.95,398709.43,3277671.56,3277675.47,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1020","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"27",398709.96,398714.43,3277671.53,3277676.5,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1021","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"28",398749.07,398753.94,3277671.53,3277676.41,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1022","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"29",398810.53,398813.78,3277671.83,3277675.58,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1023","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"30",398814.03,398820.14,3277672.24,3277676.45,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1024","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"31",398714.57,398719.51,3277671.42,3277675.07,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1025","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"32",398794.87,398797.97,3277671.73,3277673.9,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1026","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"33",398805.56,398810.45,3277671.12,3277675.99,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1027","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"34",398691.04,398693.87,3277670.51,3277673.83,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1028","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"35",398740.11,398747.28,3277670.01,3277676.48,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1029","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"36",398917.01,398919.56,3277951.54,3277956.05,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_103","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"37",398787.07,398791.04,3277670.53,3277674.24,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1030","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"38",398791.74,398794.46,3277672.22,3277675.25,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1031","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"39",398833.75,398836.84,3277672.05,3277674.37,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1032","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"40",398854.89,398861.51,3277672.06,3277674.91,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1033","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"41",398877.73,398884.47,3277669.54,3277676,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1034","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"42",398765.31,398771.98,3277670.53,3277674.97,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1035","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"43",398841.68,398847.49,3277670.04,3277673.94,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1036","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"44",398873.5,398877.71,3277667.58,3277674.41,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1037","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"45",398926.37,398935.48,3277668.63,3277675.43,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1038","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"46",398689.05,398691.9,3277670.09,3277672.81,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1039","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"47",398962.01,398970.78,3277950.69,3277956.87,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_104","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"48",398734.04,398740.23,3277670.13,3277676.45,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1040","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"49",398752.9,398756.33,3277668.68,3277672.7,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1041","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"50",398836.93,398841.44,3277669.56,3277674.4,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1042","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"51",398869.23,398873.97,3277667.84,3277674.46,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1043","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"52",398756.59,398761.95,3277667.13,3277673.49,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1044","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"53",398773.57,398780.99,3277667.68,3277673.31,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1045","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"54",398790.18,398793.71,3277669.71,3277672.06,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1046","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"55",398820.63,398825.91,3277668.51,3277674.86,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1047","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"56",398854.07,398858.32,3277668.98,3277672.61,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1048","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"57",398862.67,398868.88,3277667,3277675.43,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1049","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"58",398927.71,398932.55,3277949.71,3277954.12,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_105","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"59",398730.35,398733.9,3277667.07,3277674.49,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1050","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"60",398795.09,398796.87,3277669.39,3277671.88,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1051","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"61",398797.7,398801.97,3277669.12,3277673.47,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1052","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"62",398826,398830.98,3277668.56,3277674,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1053","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"63",398831.06,398834.66,3277667.7,3277672.42,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1054","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"64",398848.75,398853.75,3277668.07,3277673.46,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1055","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
"65",398718.23,398724.86,3277668.19,3277672.11,"NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud_laz_silva_1056","NEON_D03_OSBS_DP1_398000_3277000_classified_point_cloud.laz","2017_OSBS_3_398000_3277000_image.tif","Tree"
