"","Cluster","box","xmin","xmax","ymin","ymax","cluster_xmin","cluster_xmax","cluster_ymin","cluster_ymax","lidar_path","rgb_path","label","numeric_label"
"1",1,1,404864.17,404864.93,3284539.62,3284539.77,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"2",1,2,404882.71,404886.48,3284539.64,3284541.93,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"3",1,3,404878.15,404882.94,3284538.27,3284541.98,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"4",1,4,404869.73,404874.81,3284536.77,3284541.92,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"5",1,5,404884.54,404888.48,3284536.02,3284540.5,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"6",1,6,404862.55,404864.46,3284537.14,3284539.49,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"7",1,7,404873.32,404877.42,3284535.03,3284540.44,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"8",1,8,404877.05,404881.91,3284535.03,3284539.29,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"9",1,9,404862.54,404865.49,3284534.65,3284536.98,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"10",1,10,404865.08,404869.96,3284532.07,3284536.49,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"11",1,11,404886.55,404890.28,3284533.1,3284536.92,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"12",1,12,404862.5,404865.16,3284532.03,3284534.33,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"13",1,13,404874.17,404877.39,3284531.79,3284534.98,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"14",1,14,404888.06,404891,3284528.67,3284533.45,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"15",1,15,404866.2,404871.45,3284528.51,3284533.31,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"16",1,16,404877.5,404881.25,3284528.53,3284533,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"17",1,17,404882.02,404885.93,3284528.61,3284531.89,404861.5,404891.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"18",2,1,404946.58,404950.36,3284539.87,3284541.95,404927.5,404951.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"19",2,2,404936.1,404942.32,3284536.02,3284541.99,404927.5,404951.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"20",2,3,404928.59,404930.97,3284538.14,3284540.95,404927.5,404951.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"21",2,4,404928.54,404929.25,3284533.08,3284534.56,404927.5,404951.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"22",2,5,404949.77,404950.5,3284532.48,3284533.12,404927.5,404951.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"23",2,6,404928.57,404929.87,3284530.52,3284532.5,404927.5,404951.5,3284528.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"24",3,1,404946.58,404952.92,3284538.77,3284541.95,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
"25",3,2,404954.51,404958.99,3284536.42,3284541.96,404941.5,404966.5,3284527.5,3284542.99,"OSBS_006.laz","2017_OSBS_3_NA_image.tif","Tree",1
