"","treeID","xmin","xmax","ymin","ymax","Algorithm","lidar_path","rgb_path","label","numeric_label","tile_xmin","tile_xmax","tile_ymin","tile_ymax"
"1",1,320943.816,320962.355,4093991.569,4093999.998,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"2",2,320917.603,320929.985,4093993.81,4093995.9,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"3",3,320931.164,320945.744,4093986.518,4093999.483,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"4",4,320974.618,320981.43,4093984.164,4093991.495,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"5",5,320983.576,320991.905,4093979.508,4093986.793,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"6",6,320964.506,320971.919,4093977.584,4093987.564,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"7",7,320993.602,320999.981,4093976.583,4093982.974,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"8",8,320941.283,320952.286,4093974.002,4093982.988,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"9",9,320966.52,320975.593,4093973.506,4093981.966,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"10",10,320958.051,320966.445,4093971.521,4093979.478,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"11",11,320988.521,320995.311,4093974.014,4093982.342,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"12",12,320951.059,320959.486,4093965.886,4093981.859,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"13",13,320977.02,320986.976,4093963.064,4093973.364,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"14",14,320939.623,320950.02,4093959.232,4093965.815,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"15",15,320940.079,320950.916,4093953.221,4093962.415,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"16",16,320989.022,320994.855,4093954.594,4093963.339,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"17",17,320959.576,320974.452,4093951.215,4093963.965,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"18",18,320949.151,320959.985,4093952.001,4093965.84,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"19",19,320959.003,320970.447,4093944.118,4093958.381,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"20",20,320941.623,320952.13,4093945.19,4093955.901,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"21",21,320970.131,320981.362,4093945.108,4093956.844,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"22",22,320948.017,320960.434,4093934.22,4093945.657,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"23",23,320959.521,320968.964,4093934.519,4093944.345,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"24",24,320969.011,320974.652,4093934.058,4093939.906,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"25",25,320979.523,320985.993,4093931.162,4093939.919,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"26",26,320992.028,320999.988,4093929.583,4093941.137,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"27",27,320964.003,320969.975,4093928.216,4093934.974,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"28",28,320958.476,320965.471,4093927.534,4093937.315,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"29",29,320951.044,320958.743,4093925.683,4093934.992,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"30",30,320966.569,320974.923,4093925.115,4093930.87,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"31",31,320957.564,320964.815,4093922.552,4093929.46,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"32",32,320964.057,320971.377,4093921.816,4093927.993,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"33",33,320970.63,320978.369,4093915.64,4093926.3,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"34",34,320991.893,320999.98,4093917.117,4093925.857,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"35",35,320955.156,320961.447,4093915.461,4093923.494,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"36",36,320988.685,320999.893,4093912.51,4093923.426,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"37",37,320961.307,320967.963,4093916.609,4093922.691,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"38",38,320968.008,320977.475,4093912.03,4093922.449,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"39",39,320993.749,320999.994,4093909.495,4093916.454,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"40",40,320966.019,320973.949,4093900.574,4093911.367,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"41",41,320974.011,320983.643,4093901.098,4093910.492,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"42",42,320993.067,320999.997,4093895.011,4093902.944,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"43",43,320961.609,320971.875,4093891.566,4093900.971,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"44",44,320976.722,320985.808,4093895.004,4093901.497,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"45",45,320953.1,320962.477,4093888.242,4093897.761,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"46",46,320983.579,320989.926,4093886.072,4093897.454,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"47",47,320994.033,320999.976,4093887.511,4093896.714,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"48",48,320970.61,320980.459,4093884.544,4093893.979,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"49",49,320965.504,320971.84,4093880.002,4093884.883,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"50",50,320977.594,320986.29,4093877.689,4093887.497,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"51",51,320970.537,320976.458,4093875.519,4093884.871,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"52",52,320978.382,320988.011,4093869.094,4093877.962,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"53",53,320991.591,320999.998,4093866.026,4093877.399,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"54",54,320974.044,320986.562,4093860.054,4093868.936,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"55",55,320955.678,320962.684,4093860.059,4093866.792,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"56",56,320984.563,320994.963,4093855.011,4093866.44,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"57",57,320967.607,320976.454,4093856.607,4093865.494,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"58",58,320963.563,320969.655,4093851.591,4093862.867,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"59",59,320955.587,320963.855,4093853.504,4093859.586,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"60",60,320966.027,320975.484,4093847.683,4093857.422,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"61",61,320927.67,320936.981,4093845.631,4093848.779,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"62",62,320945.551,320958.648,4093844.594,4093854.698,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"63",63,320961.246,320973.999,4093840.004,4093851.309,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"64",64,320981.323,320989.921,4093839.035,4093845.472,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"65",65,320989.872,320995.847,4093833.482,4093844.871,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"66",66,320995.562,320999.999,4093833.025,4093838.971,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"67",67,320969.735,320973.116,4093824.015,4093825.483,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"68",68,320938.579,320948.493,4093820.03,4093830.961,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"69",69,320948.157,320958.24,4093821.009,4093830.959,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"70",70,320985.564,320989.677,4093820.007,4093824.071,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"71",71,320948.213,320959.453,4093817.524,4093828.541,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"72",72,320936.605,320947.198,4093818.008,4093825.421,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"73",73,320963.031,320974.941,4093813.135,4093824.472,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"74",74,320985.318,320999.98,4093811.271,4093823.491,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"75",75,320925.077,320934.483,4093810.548,4093821.281,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"76",76,320934.956,320944.474,4093809.109,4093818.343,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"77",77,320945.186,320956.481,4093807.319,4093819.992,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"78",78,320964.12,320967.371,4093800.522,4093804.329,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"79",79,320934.143,320943.351,4093798.639,4093808.137,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"80",80,320967.56,320974.389,4093798.23,4093804.976,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"81",81,320927.515,320933.366,4093797.937,4093802.888,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"82",82,320919.524,320924.217,4093796.433,4093803.986,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"83",83,320950.053,320956.68,4093794.02,4093801.853,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"84",84,320974.378,320980.79,4093796.017,4093801.83,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"85",85,320992.017,320993.687,4093797.932,4093799.1,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"86",86,320925.122,320931.65,4093793.748,4093799.608,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"87",87,320963.911,320970.913,4093795.003,4093800.636,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"88",88,320934.037,320939.46,4093792.059,4093797.907,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"89",89,320922.666,320929.024,4093790.117,4093797.329,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"90",90,320910.005,320919.459,4093790.064,4093797.186,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"91",91,320985.575,320987.405,4093793.042,4093796.454,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"92",92,320973.022,320981.456,4093791.501,4093796.453,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"93",93,320937.041,320943.816,4093788.554,4093795.141,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"94",94,320954.505,320963.154,4093785.552,4093796.617,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
"95",95,320965.256,320974.442,4093787.335,4093794.927,"Silva","NEON_D17_TEAK_DP1_320000_4093000_classified_point_cloud_colorized.laz","2018_TEAK_3_320000_4093000_image.tif","Tree",1,320000,320999.999,4093000,4093999.999
