Method,mean,median,Date
dalponte,0.222631939,0.218826839,5/2/18 7:29
li,0.235236316,0.227254307,5/2/18 7:29
silva,0.226339212,0.224571777,5/2/18 7:29
watershed,0.188387571,0.173382853,5/2/18 7:29
dalponte,0.29508891,0.347386223,5/1/18 17:07
li,0.313132789,0.310973768,5/1/18 17:07
watershed,0.233274414,0.226396523,5/1/18 17:07
dalponte,0.258840884,0.265453001,5/2/18 17:10
li,0.284330914,0.292991214,5/2/18 17:10
silva,0.254577176,0.259236837,5/2/18 17:10
watershed,0.206842988,0.181102216,5/2/18 17:10"1","dalponte",0.260743828385571,0.254221249330321,"05/03/18 07:29:55"
"2","li",0.275870122906521,0.260437620803289,"05/03/18 07:29:55"
"3","silva",0.265511829035122,0.251505818698189,"05/03/18 07:29:55"
"4","watershed",0.220556563540129,0.210550031237804,"05/03/18 07:29:55"
